id,name,technical_name,addendum_id:id
addendum_field_coppel_fechaReferencia,Fecha del pedido del comprador,fechaReferencia,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_GLNEntrega,GLN de la ubicación de entrega,GLNEntrega,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_GLNCliente,GLN del Proveedor,GLNCliente,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_totaldiscount,Monto total de descuentos,totaldiscount,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_totalLotes,Numero de paquetes o cajas,totalLotes,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_identificacion,Numero de pedido del comprador,identificacion,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_alternatePartyIdentification,Numero del Proveedor,alternatePartyIdentification,l10n_mx_addendum.addendum_cityfresko
addendum_field_coppel_tipoProveedor,Tipo de Proveedor,tipoProveedor,l10n_mx_addendum.addendum_cityfresko
